,0,1,2,3,4,5,6,7,8,9,10,11
71,-1.1834174136742004,-2.0800199648458855,-2.077592317752658,-2.188241038582595,-2.4366859733897654,-2.442389242150907,-2.556854807756736,-2.5657507937602637,-2.6007652960995666,-3.2353754411053415,-3.2422933539712746,-3.282483360556484
72,-1.1833742077357552,-2.079838413935157,-2.0777851486416874,-2.1882226391969746,-2.4370595921002036,-2.4419637604606015,-2.5569635042749717,-2.565598556968121,-2.6008382952462683,-3.235432771615975,-3.2422929830187175,-3.2824991304474684
73,-1.183332169525376,-2.0797407005030966,-2.077893837187777,-2.188204737092035,-2.4380462947619836,-2.4409265965206806,-2.557069400653685,-2.5654503000676665,-2.6009093184551286,-3.235488729057174,-3.242292445692212,-3.282514474135386
74,-1.18329125233394,-2.0799716777909882,-2.0776735423442205,-2.1881873123765603,-2.4372867283104096,-2.4416370473284617,-2.5571700547822265,-2.565308412892011,-2.6009784498504627,-3.2355433682736465,-3.242291748702429,-3.2825294086606798
75,-1.1832514119107003,-2.079850722162224,-2.0778048993003564,-2.188170346206269,-2.436717106208223,-2.4421588463036956,-2.557262868946697,-2.56517545226486,-2.601045760494201,-3.2355967411899793,-3.2422908984807712,-3.282543950180365
76,-1.183212606303648,-2.07970530579096,-2.077960446834636,-2.1881538207156934,-2.437240772769296,-2.4415885987748296,-2.5573452460705277,-2.565053970408571,-2.6011113238449597,-3.235648896963948,-3.2422899011674,-3.282558114003742
77,-1.1831747957121617,-2.0799183640422503,-2.0777572599729477,-2.1881377189556557,-2.4380386299396375,-2.44074535502055,-2.5574148168704443,-2.564946298254245,-2.601175205391497,-3.2356998822005227,-3.242288762637936,-3.282571914653139
78,-1.183137942350839,-2.079862123395585,-2.0778231221006265,-2.188122024835097,-2.437151020994856,-2.4415887264089777,-2.5574697100682875,-2.564854267847902,-2.6012374701292953,-3.2357497410871607,-3.242287488501318,-3.282585365920345
79,-1.1831020103235497,-2.0796806965806125,-2.078013929859588,-2.18810672306755,-2.4367726030623778,-2.441924012723568,-2.5575088181738446,-2.564778951234132,-2.6012981779785247,-3.2357985155703246,-3.242286084161173,-3.2825984809119944
80,-1.183066965506811,-2.0798626594875285,-2.077841116268414,-2.1880917991214317,-2.4374219341584458,-2.441232614988124,-2.557531987304181,-2.5647204674848276,-2.6013573870161917,-3.235846245483985,-3.242284554751267,-3.2826112720779848
81,-1.1830327754416996,-2.0798701692918815,-2.077842532625766,-2.188077239174009,-2.4379601292381916,-2.4406533792846363,-2.557540073157963,-2.564677928408911,-2.6014151518662048,-3.2358929686910525,-3.242282905207632,-3.2826237512663776
82,-1.1829994092335792,-2.079666017239022,-2.0780553957520937,-2.1880630300686974,-2.4370492151026895,-2.4415242417269964,-2.557534837304562,-2.564649541227639,-2.601471524803036,-3.235938721189389,-3.242281140259993,-3.282635929752683
83,-1.1829668374589852,-2.079807217028956,-2.077922699629122,-2.1880491592754137,-2.436848953126283,-2.4416854056219983,-2.557518712069079,-2.5646328439541044,-2.6015265555495666,-3.2359835372403505,-3.242279264431911,-3.2826478182739827
84,-1.1829350320790877,-2.0798727556125707,-2.0778654646261727,-2.188035614853729,-2.437595089580203,-2.4409010910416526,-2.5574944974492437,-2.5646250084015634,-2.601580291413173,-3.2360274494686543,-3.2422772820612087,-3.282659427065973
85,-1.1829039663591878,-2.079660127374559,-2.0780862033383425,-2.1880223854185985,-2.4378332536008345,-2.4406256367578547,-2.5574650644851507,-2.564623136494264,-2.6016327776571666,-3.2360704889620155,-3.2422751973155686,-3.2826707658879344
86,-1.1828736147937682,-2.0797544394952565,-2.0779998152441173,-2.188009460108407,-2.436979541548125,-2.441442915794877,-2.557433118607769,-2.564624497207825,-2.601684057265816,-3.2361126853551476,-3.242273014178987,-3.2826818440461403
87,-1.182843953036654,-2.0798683074673283,-2.0778936912070014,-2.187996828555278,-2.436943162633154,-2.4414436897171212,-2.557401046890127,-2.5646266788244896,-2.601734171482872,-3.236154066916296,-3.242270736488807,-3.2826926704302326
88,-1.1828149578358789,-2.0796616485571318,-2.0781079200311483,-2.187984480857259,-2.437748937203397,-2.4406031102664603,-2.557370845252403,-2.564627662099431,-2.601783159487241,-3.2361946606263507,-3.2422683679159134,-3.282703253522559
89,-1.182786606972899,-2.079706308178966,-2.078070662102952,-2.187972407552551,-2.43768457921747,-2.4406334368137834,-2.5573441073955183,-2.564625830844796,-2.6018310589148634,-3.2362344922461497,-3.2422659119792487,-3.2827136014368254
90,-1.182758879205809,-2.0798559499502187,-2.0779282593507484,-2.1879605995951703,-2.436939155943509,-2.4413455765928402,-2.5573220528776273,-2.5646199441840816,-2.6018779055677723,-3.236273586401804,-3.2422633720648277,-3.2827237219238867
91,-1.182731754216264,-2.07966899847562,-2.078122292474416,-2.1879490483325394,-2.437052514152817,-2.4411996584428874,-2.5573055751576113,-2.5646090881074946,-2.601923733849659,-3.236311966624821,-3.242260751425113,-3.2827336224006842
92,-1.182705212559828,-2.0796643052449086,-2.078133915060677,-2.187937745484141,-2.4378689417345676,-2.4403513711343274,-2.557295295668959,-2.564592621652854,-2.6019685765478804,-3.2363496554358417,-3.242258053167123,-3.2827433099630716
93,-1.182679235619486,-2.0798356144805,-2.0779693877475367,-2.1879266831219035,-2.4375360212385693,-2.4406531097698734,-2.5572916155432384,-2.5645701248730997,-2.6020124651704952,-3.236386674377451,-3.242255280302444,-3.282752791408746
94,-1.1826538055620988,-2.0796804211548214,-2.078131220218349,-2.1879158536514884,-2.4369249723005777,-2.441233633307848,-2.5572947605316547,-2.5645413540922055,-2.6020554298020184,-3.2364230440895754,-3.2422524356971296,-3.282762073243307
95,-1.1826289052975738,-2.079629408220665,-2.078188733982102,-2.1879052497950413,-2.437174255925043,-2.4409544602289235,-2.557304817413834,-2.5645062052717815,-2.602097499353594,-3.236458784335667,-3.2422495221237493,-3.2827711617099755
96,-1.1826045184405647,-2.079808038603856,-2.0780164703907826,-2.1878948645748064,-2.437939921760302,-2.440159521216844,-2.55732176161432,-2.5644646865059784,-2.6021387014782773,-3.2364939140581246,-3.2422465422359172,-3.282780062784142
97,-1.182580629274515,-2.079694024383903,-2.0781367214680935,-2.187884691297842,-2.4374016410824555,-2.4406691261295057,-2.5573454765002284,-2.564416898565675,-2.6021790627542063,-3.236528451418176,-3.242243498587627,-3.282788782202467
98,-1.1825572227178804,-2.079602128581879,-2.0782347281303557,-2.1878747235416243,-2.436934055621452,-2.4411086151337895,-2.557375765021989,-2.5643630233225716,-2.602218608642046,-3.2365624138449363,-3.242240393632904,-3.2827973254715546
